feature,importance
median_income,0.33042987138966834
log_median_income,0.2643943034749601
population_per_household,0.13760935119231107
latitude,0.07405159912789805
longitude,0.07347484309110333
housing_median_age,0.04789971243435936
rooms_per_household,0.02227948393814627
bedrooms_per_room,0.02185849946939343
total_bedrooms,0.007254153881782204
households,0.0062612216701100265
total_rooms,0.005929145913894726
population,0.004285886899720081
log_population,0.004271927516652908
